,제목,가사
4479,불안,<인디>가사 우린 어쩌면 예전에 모든 걸 나눴는지도 몰라 더는 네게 줄 것이 없어지면 난 어떡하지 널 내 곁에 두는 게 조금 힘들어질지도 몰라 아무것도 할 수 없는 날이 올 지도 몰라 억지스런 내 욕심이 반복되는 다툼이 여기 남겨진 불안이 떠날지도 모르는 너를 잡지 못하게 하네 다른 시작을 조금씩 생각하고 있는지도 몰라 그래서 가끔 혼자인 나도 필요한 걸 넌 모르는 내 마음이 혼자 힘들어하고 이겨내고 아무렇지 않은 채로 우릴 또 속이네 억지스런 내 욕심이 반복되는 다툼이 여기 남겨진 불안이 떠날지도 모르는 너를 잡지 못하게 하네 얼마나 많은 시간이 남았는지 널 마주할 시간은 끝을 향해 가고 있는데 억지스런 내 욕심이 반복되는 다툼이 여기 남겨진 불안이 떠날지도 모르는 너를 잡지 못하게 하네
4480,"또, 만나",<인디>노을에 잠긴 교문을 지나면 둘이서 걸었던 등나무교실 수돗가 위엔 소년의 땀방울 그늘 아래 새긴 소녀의 발구름 다 어디 갔을까 짧은 하루와 작은 꿈들은 늘 함께 했었던 지난 날들에 담긴 추억들 저 위에 돌 계단을 오르면 보이는 운동장의 아이들 다시 불러보고 싶어 종소리 울리면 너의 옆자리로 우리 처음 만났던 그 자리로 갈게 수돗가 위엔 소년의 땀방울 그늘 아래 새긴 소녀의 발구름 다 어디 갔을까 짧은 하루와 작은 꿈들은 늘 함께 했었던 지난 날들에 담긴 추억들 저 위에 돌 계단을 오르면 보이는 운동장의 아이들 다시 불러보고 싶어 종소리 울리면 너의 옆자리로 우리 처음 만났던 그 자리로 갈게 저 위에 돌 계단을 오르면 보이는 운동장의 아이들 다시 불러보고 싶어 종소리 울리면 너의 옆자리로 우리 처음 만났던 그 자리로 갈게 우리 처음 만났던 그 자리로 갈게
4481,너를 찾아서,<인디>누굴 좋아하는 건 별다를 게 없어서 잠시 머물다 가면 추억이 되고 너를 보내는 것도 특별할 게 없어서 하루가 지나면 또 하루를 기다려 애쓰면 슬퍼지고 참을수록 힘들어 내겐 매일 마지막 같아서 사랑 어디에 있는지 다시 할 수 있을지도 모르고 괜히 서글퍼질 땐 한번 물어도 보고 싶어 어디 있냐고 또 부르고 나면 너는 내게 있었네 애쓰면 슬퍼지고 참을수록 힘들어 내겐 매일 마지막 같아서 사랑 어디에 있는지 다시 할 수 있을지도 모르고 괜히 서글퍼질 땐 한번 물어도 보고 싶어 어디 있냐고 또 부르고 나면 너는 내게 있었네
4482,횡단보도,<인디>그땐 미처 몰랐어 미쳐서 몰랐었나봐 그랬나봐 갈피잡지 못한 거리 사이로 널 봤을 때 어떤 표정였는지 웃고 있었던 것 같은데 모르겠어 그래 아마 우린 같은 얼굴로 바라봤을 텐데 벌써부터 헤어지기 아쉬워 티는 안내도 널 가리는 버스에도 아쉬운 내 맘을 알려주고 싶은데 빨간 불이 꺼지면 볼 수 있을까 널 옆에서 몇 발짝 걸으면 끝나는 횡단보도 위에서 다시 만나기로해 애써 뛰어왔는지 하얀 입김 옷깃 사이로 새어 나와 괜찮은 척 숨을 돌려보지만 나도 같은걸 벌써부터 헤어지기 아쉬워 티는 안내도 널 가리는 버스에도 아쉬운 내 맘을 알려주고 싶은데 빨간 불이 꺼지면 볼 수 있을까 널 옆에서 몇 발짝 걸으면 끝나는 횡단보도 위에서 다시 만나기로해
4484,아무 일 없이,<인디>난 여기서 너를 기다리고 있어 난 여기서 사랑을 말하고 있어 너는 아무것도 모르고 난 혼자서 끝을 기다리고 있어 난 혼자서 아니라 말하고 있어 너는 아무것도 모르고 어떤 기대도 없이 보채는 것 없이 이대로 노인이 되어도 이상할 것 없이 이제 엇갈림 없이 기다림도 없이 언젠가 다시 날 불러도 돌아볼 것 없이 굽은 허리 위로 보이는 달라진 네 모습을 바라보며 우린 왜 이리 늦게 만난 건지 어떤 기대도 없이 보채는 것 없이 이대로 노인이 되어도 이상할 것 없이 이제 엇갈림 없이 기다림도 없이 언젠가 다시 날 불러도 돌아볼 것 없이
4485,동행에게 (Feat. 김현아 of 랄라스윗),<인디>달라 보였으면 좋겠어 하루 해가 질 때쯤 내 모습이 멀리 떠나가 버리고 싶어져 약속도 설명도 없이 아무렇지도 않게 시린 창에 몸을 기대고 눈감는다 발길 닿는 곳에 뭐가 있을까 놓지 못한 기억일까 혼자 걷는 길에 끝이 있을까 발 맞춰줄 널 기다려 볼까 조금 느렸으면 좋겠어 우릴 웃게 했던 많은 날들이 서로 아파했던 시간들은 거짓말처럼 빨라도 아무렇지도 않게 시린 창에 몸을 기대고 눈감는다 발길 닿는 곳에 뭐가 있을까 놓지 못한 기억일까 혼자 걷는 길에 끝이 있을까 발 맞춰 줄 널 기다려 볼까 어둑어둑한 이곳에서 길을 잃어도 아름아름 너의 향기를 따라 걷는다
4486,몰래 빛나는 (Feat. 플레이모드),<인디>달리고 싶어 네 곁으로 안기고 싶어 네 품으로 별을 따라 가면 볼 수 있을까 밤을 채우는 풍경속에 사라져가는 저 별빛들 같이 희미해지는 뒷모습이 아직까지 내게 말해 주는 것 같아 알고 있니 서울하늘에 별이 없는 건 매연이 아닌 도시의 불빛 때문이란 걸 하지만 가끔 고갤들어 하늘을 보지 안보인다고 사라진게 아냐 저기 위에서 몰래빛나는 너의 밤 밤을 채우는 풍경속에 사라져가는 저 별빛들 같이 희미해지는 뒷모습이 아직까지 나지막히 내게 말해 주는 것 같아 알고 있니 서울하늘에 별이 없는 건 매연이 아닌 도시의 불빛 때문이란 걸 하지만 가끔 고갤들어 하늘을 보지 안보인다고 사라진게 아냐 저기 위에서 몰래빛나는 너의 밤 몰래 빛나는 너의 밤 몰래 빛나는 너의 밤 몰래 빛나는 너의 밤 몰래 빛나는 너의 밤
4487,313,<인디>참 아름답구나 20대여 늘 희미한 내일일 뿐이지만 바랄 게 없구나 미치도록 원했던 세상에 살고 있으니 넌 늦었다고 멈춰 서 있지만 할 수 없는 건 할 수 없다고 붙들 수 없는 건 지나치라고 사랑하는 게 전부라 해도 할 수 있다면 살 수 있다고 꽤 지났었구나 널 만나고 내 안의 많은 말을 뱉어 내고 변한 건 없지만 돌아보면 우린 같으면서도 좀 달랐어 그래서 우린 서롤 잘 알잖아 할 수 없는 건 할 수 없다고 붙들 수 없는 건 지나치라고 사랑하는 게 전부라 해도 할 수 있다면 살 수 있다고
4488,밤의 순환,<인디>듣고 싶었던 목소린 많은데 하나 고르지 못하고 뒤적거리던 번호들 사이로 오늘 하루도 가네 머리 속에 떠도는 못한 얘기들 검은 새벽 사이로 차마 적지 못했던 나의 글들은 다시 머리 속으로 머물고 싶지만 나의 밤은 그리 길지도 않고 잘도 떠난다 너를 생각하며 보낸 시간들은 짧지 않지만 잘도 떠난다
4489,Dancing Tree,<인디>물결치듯 바람에 휘날리는 나무들처럼 우리의 마지막 춤을 춰봐요 시간이 가기 전에 아무것도 방해하지 않는 우리의 섬에서 손을 잡아요 물결치듯 바람에 휘날리는 나무들처럼 우리의 마지막 춤을 춰봐요 시간이 가기 전에 나무들처럼 우리의 마지막 춤을 춰봐요 전부 사라지기 전에
4490,겨울잠,<인디>1 날 감싸는 하얀 이불 일어나야 해 지금 얼어붙은 세상 속에서 한동안 잠들었으니 지긋했던 안녕은 계절에 묻고서 이제 한 번 나가 볼까 가만히 있어도 지구는 돈다 누워만 있어도 시간은 흐른다 끝나지 않은 계절은 어느새 또 널 불러와 쌓이고 쌓여도 내리는 눈처럼 버리고 버려도 쌓이는 맘처럼 너는 내게 깨지 않는 겨울잠 2 날 깨우는 푸른 아침 눈을 떠야지 이제 움츠렸던 시간 속에서 이제 더는 머무를 수 없으니 가만히 있어도 지구는 돈다 누워만 있어도 시간은 흐른다 끝나지 않은 계절은 어느새 또 널 불러와 쌓이고 쌓여도 내리는 눈처럼 버리고 버려도 쌓이는 맘처럼 너는 내게 깨지 않는 겨울잠 언젠가 다시 돌아올 별 헤는 그 겨울 밤에 널 다시 볼 수 있다면 난 좋아 가만히 있어도 지구는 돈다 누워만 있어도 시간은 흐른다 끝나지 않은 계절은 어느새 또 널 불러와 쌓이고 쌓여도 내리는 눈처럼 버리고 버려도 쌓이는 맘처럼 너는 내게 깨지 않는 겨울잠
4491,행성의 사랑,<인디>우주와 우주에서 행성과 행성에서 남자와 여자에서 서로의 기원으로 하나와 다른 하나 조각과 조각들로 우린 그렇게 만났네 허무의 시작에서 백 년 뒤 오늘까지 아들의 첫째 딸로 엄마의 아버지로 하나와 다른 하나 조각과 조각들로 우린 그렇게 만났네 다른 아무것도 필요 없어 나의 팽창하는 우주엔 가난한 맘이어도 상관없어 네가 살아 있는 순간에 순간들이 모여 별들이 빛나네
4492,에필로그,<인디>다신 없을 일이라는 생각들로 내 안의 너를 찾아 헤매이고 있어 한때는 기적 같던 순간들로 오늘도 나는 조금 죽 어가고 있어 불안한 출발 속에 넘어지지 않을 용기는 끝이 다른 우리에게 아무 소용 없는 것이었나 우 남겨 진 고백들 우 마음속 빈 곳에 가둬 우 좁은 내 맘속에 우 넘쳐 버린 너의 기억 조금씩 멀어 지는 그 모습은 눈에 새겨 져 떠날 줄을 모르고 좋은 것만 남았다고 생각했던 흔적들은 계속 날 몰아세우는데 지나간 시간 속에 안아 주지 못한 외로움은 조급했던 우리에게 때론 무거운 짐이 되겠지 우 남겨 진 고백들 우 마음속 빈 곳에 가둬 우 좁은 내 머리에 우 넘쳐 버린 너의 기억
4493,긴긴밤,<인디>홀로 남겨질 그대에게 나의 마음을 보내요 괜찮아 돌아올게 빛나던 너와의 날들을 잊지 못해 약속해 다시 올게 그때는 영원을 약속할게 다시 또 긴긴 밤이 지나면 우린 돌아갈 수 없겠지 이렇게 긴긴 하늘 지나면 서로 다른 꿈을 꾸겠지 안녕 먼 길을 떠날 나에게 그대 눈물을 띄워요 괜찮아 돌아올게 빛나던 너와의 추억을 잊지 못해 약속해 다시 올게 그때는 떠나가지 않을게 다시 또 긴긴 밤이 지나면 우린 돌아갈 수 없겠지 이렇게 긴긴 하늘 지나면 서로 다른 꿈을 꾸겠지 안녕 끝나지 않은 우리의 이야기 다시 또 긴긴 밤이 지나면 우린 돌아갈 수 없겠지 이렇게 긴긴 하늘 지나면 서로 다른 꿈을 꾸겠지 다시 또 긴긴 밤이 지나면 우린 돌아갈 수 없겠지 이렇게 긴긴 하늘 지나면 서로 다른 꿈을 꾸겠지 오 오오 안녕 끝나지 않은 우리의 이야기
4494,봄처럼 내게 와,<인디>봄처럼 내게 와줘 꿈처럼 내게로 와 봄처럼 내게 와줘 꿈처럼 내게로 햇살이 따뜻해 외투가 답답해 이젠 장갑도 필요 없어 바람이 달콤해 기분이 상쾌해 이젠 봄이 오려나봐 바람 부는 날 함께 걸어볼까 너를 처음 본 그 거리에서 꽃이 피는 날 소풍을 갈까 네가 좋아하는 공원에서 봄처럼 내게 와줘 꿈처럼 내게로 와 봄처럼 내게 와줘 꿈처럼 내게로 자꾸만 생각해 이렇게 행복해 몰라 그냥 웃음이나 이제는 갑갑해 가슴이 답답해 더는 기다릴 수 없어 봄처럼 내게 와줘 꿈처럼 내게로 와 봄처럼 내게 와줘 꿈처럼 내게로 바람 부는 날 함께 걸어볼까 꽃이 피는 날 소풍을 갈까 어떤 영활 볼까 어떤 걸 먹을까 이젠 너와 같이 하고 싶어 봄처럼 내게 와줘 꿈처럼 내게로 와 봄처럼 내게 와줘 꿈처럼 내게로 봄처럼 내게 와줘 꿈처럼 내게로 와 봄처럼 내게 와줘 꿈처럼 내게로 내게로 오오오 봄처럼 내게 와줘 음음음음음음
4495,이 빗속에 (Acoustic Ver.),<인디>이렇게 비가 내리는 날엔 너와 함께 걷던 날이 떠올라 작은 우산 아래 서로 기대어 속삭이던 너의 목소리 이렇게 비가 내리는 날엔 너를 기다리던 날이 떠올라 아직도 그렇게 늦게 일어나 젖은 머리로 누굴 설레게 하니 기다려도 넌 오지 않고 빗방울은 계속 떨어지고 세상 가득 니 모습만 젖어 내리네 오늘 하루 멈추지 말고 조금만 더 나를 적셔주오 이 빗속에 그리움이 씻겨 갈 수 있도록 이렇게 비가 내리는 날엔 너를 처음 만난 날이 떠올라 고운 눈빛으로 날 바라보던 너의 모습을 나는 잊을 수 없네 이렇게 비가 내리는 날엔 니가 많이 울던 날이 떠올라 아직도 누가 널 아프게 하니 아니면 혹시 날 그리워 하니
4496,연애를 시작한다는 건 말이야,<인디>나는 매번 거절할 걸 알면서 고백해 너는 매번 아닌 척하면서도 웃었지 그런 네가 나를 행복하게 해 너는 매번 들킬걸 알면서도 숨기고 나는 매번 모른 척하는데도 다가가 이런 우리 사인 아직 어색해 그런데도 너의 모든 것이 궁금해 그래 연애를 시작한다는 건 말이야 집에 오는 길에 맥주처럼 멈출 수가 없는 것 사랑이 시작된다는 건 말이야 밤하늘에 별들까지 모든 것이 너를 향해가는 것 나는 요즘엔 나보다 너를 더 생각해 너는 요즘 들어 웃는 모습이 많아져 그런 너의 미소가 날 웃게 해 그런 너의 모든 것을 감싸 안을게 그래 연애를 시작한다는 건 말이야 달콤한 초콜릿처럼 멈출 수가 없는 것 사랑이 시작된다는 건 말이야 휴일을 앞둔 저녁처럼 모든 것이 아름다워지는 것 길어져만 가는 새벽에 전화 뻔하지만 설레이는 얘기들 두려워 망설이는 널 놓지 않을게 네가 다시 끓어오를 때까지 연애를 시작한다는 건 말이야 집에 오는 길에 맥주처럼 멈출 수가 없는 것 사랑이 시작된다는 건 말이야 밤하늘에 별들까지 모든것이 너를 향해 가는 것
4498,고백 (Feat. 킹스턴 루디스카),<인디>오늘 하루 함께 있어 정말 즐거웠어 집에 돌아가기 전에 나 할말이 있어 사실 난 며칠 전부터 기다렸어 너도 조금은 알았겠지만 네 앞에서 멋있는 척 하고 싶어서 어울리지 않는 비싼 옷을 빌렸어 이젠 솔직한 모습만 보여주고 싶어 이렇게 내 마음을 전할게 너와 함께라면 좋을 것 같아 너의 새하얀 미소만 떠올라 너와 함께 손을 잡고 거리를 걷고 싶어 너를 품에 안고서 밤새도록 속삭이고 싶어 오오오 속삭이고 싶어 오오오 사실 난 재미있는 사람이 아니야 네가 웃는 모습이 너무 보고 싶어서 어젯밤 거울 보면서 연습했어 환하게 웃어줘서 고마워 너와 함께라면 좋을 것 같아 너의 새하얀 미소만 떠올라 이건 사랑이란 말로 설명할 수 없어 내 맘을 감출 수 없네 내겐 너의 미소가 필요해 어색할지도 몰라 멀어질지도 몰라 하지만 언제까지나 내 맘을 숨길 수 없어 난 고백할게 너에게 너와 함께라면 좋을 것 같아 너의 새하얀 미소만 떠올라 이건 사랑이란 말로 설명할 수 없어 내 맘을 감출 수 없네 밤새도록 너와 너와 함께라면 좋을 것 같아 너의 새하얀 미소만 떠올라 이건 사랑이란 말로 설명할 수 없어 내 맘을 감출 수 없네 내겐 너의 미소가 필요해 오오오 너의 미소가 필요해 오오오 너의 미소가 필요해 오오오 너의 미소가 필요해 오오오
4500,파란달,<인디>다른 아무것도 보지마 이밤이 너무 짧잖아 오늘밤 내가 할수 있을만큼 널 보고싶어 우리 말곤 생각 하지마 새벽이 오려 하잖아 오랜시간 견딜수 있을만큼 널 안고싶어 파란달빛이 지고 나면 너는 홀로 긴시간을 걷겠지 노란별빛이 지고 나면 잡을 수없는 손 떠올리겠지 아 향기 같은 사람 온통 내곁을 감싸는 아 계절 같은 사람 어디 있어도 다시날 찾아와 너무 애써 웃음 짓지마 너의 눈물이 보이잖아 많은 얘기가 담긴 너의 눈이 내겐 아름다워 우리 잡은손을 놓지마 아침이 오려 하잖아 이렇게 떨려오는 나의 눈을 잊지말아줘 파란달빛이 지고 나면 너는 홀로 긴시간을 걷겠지 노란별빛이 지고 나면 잡을 수없는 손 떠올리겠지 아 향기 같은 사람 온통 내곁을 감싸는 아 계절 같은 사람 어디 있어도 다시날 찾아와 아 노을 같은 사람 뒤돌아 걸어도 빛나는 아 새벽 같은 사람 잠들지 못하는 내곁을 지켜줘
4501,밤새,<인디>오오오 오오 오오 오오오 오오 오오 생각보다 나쁘지는 않아 어쩌면 조금 편해진 것 같아 그때로 다시 돌아간다 해도 너를 잡을 수 없다는 걸 알아 오오오 오오 오오 오래된 사진처럼 미련 없지 오오오 오오 오오 오늘 같은 밤이라면 아프지 않아 밤새 비가 내려도 나는 젖지 않아 밤새 네가 내려도 내 맘 젖지 않아 그때부터 우린 없던거야 너의 향수가 바뀐걸 알던 날 해는 뜨고 다시 저물어가 마치 별다를 것 없는 너와 나 오오오 오오 오오 오래된 사진처럼 미련 없지 오오오 오오 오오 오늘 같은 밤이라면 아프지 않아 밤새 비가 내려도 나는 젖지 않아 밤새 네가 내려도 내 맘 젖지 않아 비가 눈이 되어도 나는 얼지 않아 너의 뒷모습 떠올라도 난 괜찮아 밤새 비가 내려도 나는 젖지 않아 밤새 비가 내려도 내 맘 젖지 않아 비가 눈이 되어도 나는 얼지 않아 너의 뒷모습 떠올라도 난 괜찮아 오오오 오오 오오 오오오 오오 오오 오오오 오오 오오 오오오 오오 오오
4502,이 빗속에,<인디>이렇게 비가 내리는 날엔 너와 함께 걷던 날이 떠올라 작은 우산 아래 서로 기대어 속삭이던 너의 목소리 이렇게 비가 내리는 날엔 너를 기다리던 날이 떠올라 아직도 그렇게 늦게 일어나 젖은 머리로 누굴 설레게 하니 기다려도 넌 오지 않고 빗방울은 계속 떨어지고 세상 가득 네 모습만 젖어 내리네 오늘 하루 멈추지 말고 조금만 더 나를 적셔주오 이 빗속에 그리움이 씻겨 갈 수 있도록 이렇게 비가 내리는 날엔 너를 처음 만난 날이 떠올라 고운 눈빛으로 날 바라보던 너의 모습을 나는 잊을 수 없네 이렇게 비가 내리는 날엔 네가 많이 울던 날이 떠올라 아직도 누가 널 아프게 하니 아니면 혹시 날 그리워하니 기다려도 넌 오지 않고 빗방울은 계속 떨어지고 세상 가득 네 모습만 젖어 내리네 오늘 하루 멈추지 말고 조금만 더 나를 적셔주오 이 빗속에 그리움이 씻겨 갈 수 있도록 오오 이 빗속에 네 모습만 젖어 내리네 오 이 빗속에 그리움이 씻겨 갈 수 있도록 오 오 씻겨 갈 수 있도록 씻겨 갈 수 있도록 씻겨 갈 수 있도록 씻겨 갈 수 있도록
4503,바람만이,<인디>비가오면 잊혀지려나 뜨거웠던 여름날 우리 지켜지지 않은 약속들 계절따라 떠나가려나 해가뜨면 잊혀지려나 들려오는 너의 목소리 지워지지 않는 노래들 세월타고 떠나가려나 나는 겁이나 너 없는 이 길 혼자 걸어갈 수 있을까 바람만이 알고있네 얼마나 지나야 잊혀지는지 바람속에 담겨있네 눈부시던 우리의 여름 걷다보면 잊혀지려나 멀어지지 않는 아픔이 아쉬움에 잠긴 시간들 추억으로 변해가려나 눈을 감으면 다시 살아나 닿을수는 없어도 보이는 너 어느새 나는 혼자가 아니야 떠나갈 수 없어 비가오면 잊혀지려나 함께였던 많은날들이 눈물속에 바래져가는 눈부시던 우리의 여름
4504,떠나갈래,<인디>이제는 눈물마저 다 말라버렸어 어설픈 미소 까지도 오늘도 표정 없이 거리를 거닐며 텅빈 가슴 채우려 해 어렵다 이제는 꿈도 사랑도 잡으려 할수록 더 멀어져 가네 이렇게 너마저 떠나면 나는 견딜 수 없어 차라리 떠나갈래 나는 떠나갈래 눈부신 태양과 푸른 바다를 찾아 떠나갈래 혼자라도 괜찮아 시원한 바람과 구름 따라서 나는 떠나갈래 떠나가면 나아 질지도 몰라 이제는 눈물마저 다 말라버렸어 어설픈 미소 까지도 오늘도 표정 없이 거리를 거닐며 텅 빈 가슴 채우려 해 어렵다 이제는 꿈도 사랑도 잡으려 할수록 더 멀어져 가네 이렇게 너마저 떠나면 나는 견딜 수 없어 차라리 떠나갈래 나는 떠나갈래 눈부신 태양과 푸른 바다를 찾아 떠나갈래 혼자라도 괜찮아 시원한 바람과 구름 따라서 나는 떠나갈래 떠나가면 나아 질지도 몰라 눈부신 태양과 푸른 바다를 찾아 떠나갈래 눈부신 태양과 푸른 바다를 찾아 떠나갈래 혼자라도 괜찮아 시원한 바람과 구름 따라서 나는 떠나갈래 떠나가면 나아 질지도 몰라 떠나가면 나아 질지도 몰라 떠나가면 나아 질지도 몰라
4505,햇살 좋은 날,<인디>하늘 보면 떠나가고 싶어 오오 하늘에 구름처럼 흐르는 강물처럼 바람불면 날아가고 싶어 오오 이렇게 햇살 좋은 날이 더 힘들어 내일이 다가오면 나는 떠날 거야 내 모든 아픔 모두 버릴 수 있는 곳 어디라도 좋아 거기가 천국일 거야 하늘 보면 나는 그리워져 오오 너를 닮은 햇살이 내 눈을 적셔주네 내일이 다가오면 나는 떠날 거야 내 모든 아픔 모두 버릴 수 있는 곳 어디라도 좋아 거기가 천국일 거야 어디라도 좋아 거기가 천국일 거야 하늘 보면 나는 그리워져 오오 너를 닮은 햇살이 내 눈을 적셔주네 오오 너를 닮은 햇살이 내 눈을 적셔주네 오오 너를 닮은 햇살이 내 눈을 적셔주네 오오
4506,사라지지마 (Feat. 이정아),<인디>담아둘 수 없는 나의 말들이 하나 둘씩 모여 노래가 되고 나의 시간으로 너의 마음을 어루만지고 싶어 쉬어갈 틈 없던 너의 하루는 한걸음씩 멀리 저물어가고 갈곳없어 지친 우리 마음은 기댈곳이 필요해 사라지지 마 같은빛을 바라봐 나란히 널려있는 이불처럼 사라지지 마 그냥 곁에 머물러줘 노을 빛에 물든 저 하늘처럼 오늘따라 예쁜 하늘을 보면 어느새 눈앞에 네가 떠올라 모든 순간마다 나의 마음은 너의 곁을 맴돌아 사라지지 마 같은빛을 바라봐 나란히 널려있는 이불처럼 사라지지 마 그냥 곁에 머물러줘 노을 빛에 물든 저 하늘처럼 숨어 부는바람도 떠가는 저 구름도 모든게 널 담고 빛나고 있어 사라지지 마 그냥 곁에 머물러줘 노을 빛에 물든 저 하늘처럼 사라지지 마 같은빛을 바라봐 나란히 널려있는 이불처럼 사라지지 마 그냥 곁에 머물러줘 노을 빛에 물든 저 하늘처럼 노을 빛에 물든 저 하늘처럼
4507,나도 모르게,<인디>마른 바람이 거칠게 불어 나를 붙잡으려고 해도 흔들리는 저 거리에 불빛 외로움을 깨운다 해도 어딘가에 꿈꾸고 있는 널 그려보는 것만으로도 웃음이나 언제까지나 나도 모르게 널 향해가지만 이대로는 닿을 수가 없는걸 오 난 이 마음 어떡해야 하나 유난히 너의 모습이 아려오는 이 밤 나의 기도가 쌓여만 가고 이슬처럼 내린다 해도 멀어져 가는 우리의 시간 그리움을 부른다 해도 너와 내가 가까워 졌던 날 생각하는 것 만으로도 설레어와 언제까지나 나도 모르게 널 향해가지만 이대로는 닿을 수가 없는걸 오 난 이 마음 어떡해야 하나 네 모습이 오늘따라 아려와 나는 도망치지 않아 세상에 네가 있다면 더는 흔들리지 않아 그대로 있어 준다면 거친 파도가 밀려온다 해도 나도 모르게 널 향해가지만 이대로는 닿을 수가 없는걸 오 난 이 마음 어떡해야 하나 유난히 너의 모습이 아려오는 이 밤
4508,안아줄게,<인디>혼자라는 생각 때문에 오늘도 나는 길을 걸었지 흔들리는 나의 마음은 무엇을 향해 가고 있나 너무 힘들었던 오늘 하루 이렇게 아픔이 찾아와도 꿈을 꾸네 우린 기다리네 꿈결 같은 사랑을 혼자라는 생각 때문에 오늘도 우린 길을 잃었지 흔들리는 우리 마음은 무엇을 찾아 가는 걸까 너무 힘들었던 오늘 하루 이렇게 눈물이 나더라도 꿈을 꾸네 우린 기다리네 영화 같은 사랑을 안아줄게 언제라도 괜찮아 웃어줄게 혼자여도 괜찮아 너무 힘들었던 오늘 하루 이렇게 아픔이 찾아와도 꿈을 꾸네 우린 기다리네 꿈결 같은 사랑을 안아줄게 언제라도 괜찮아 웃어줄게 혼자여도 괜찮아 안아줄게 언제라도 괜찮아 웃어줄게 혼자여도 괜찮아 나나나나 나나나나 나나나
4509,Midnight Song,<인디>멀리 밤이 지나고 다시 새벽이 오면 니 모습 지우려고 두 눈을 감아도 널 향한 내 마음 커져만 가네 멀리 밤이 지나고 다시 새벽이 오면 니 모습 지우려고 나 애를 써봐도 널 향한 그리움 커져만 가네 사랑은 스치는 꽃향기라고 누가 말했었나 시간이 흐르면 아침이 오듯 다 잊혀질까 창가에 내 맘을 띄워 보내고 이렇게 밤은 깊어만 가네
4511,태양,<인디>내 전부였던 꿈들이 모두 눈앞에서 멀어지고 바람처럼 흩어져가네 널 사랑했던 날들도 눈을 감는 순간 사라지고 다가가도 잡을 수 없네 어제의 태양 텅 빈 내 맘을 비추고 부서진 내 맘 이제는 감출 수 없어 지나간 시간 돌아갈 수는 없다고 이제는 그만 조용히 잠들고 싶어 날 둘러싸던 모든 게 안개처럼 흐려지고 눈을 떠도 볼 수가 없네 어제의 태양 텅 빈 내 맘을 비추고 부서진 내 맘 이제는 감출 수 없어 지나간 시간 돌아갈 수는 없다고 이제는 그만 조용히 잠들고 싶어 시간은 내게 그만 잊으라 말하지 하지만 나는 여전히 꿈꾸고 싶어
4512,향기 (Feat. 이종민 of 장기하와 얼굴들),<인디>길을 따라 걷다가 어두운 밤 하늘 보면 너의 미소가 떠올라 가벼워진 내발걸음 너는 아마 모를 꺼야 이 세상 가득 너의 모습뿐 밤하늘에 저 작은 별도 그대 고운 얼굴 비추려 빛나네 그대 모습을 따라 걸어가네 거리 마다 그대 닮은 고운 불빛 그대 미소가 달빛 아래 피었네 온 세상엔 온통 그대 향기뿐이네 길을 따라 걷다가 포근한 밤 찾아오면 너의 입술이 떠올라 수줍어진 내발걸음 그대 모습을 따라 걸어가네 거리 마다 그대 닮은 고운 불빛 그대 미소가 달빛 아래 피었네 온 세상엔 온통 그대 향기뿐이네 네게 못다한 말들 너의 곁에 두고 온 나의 마음 지친 내 발걸음 뜨거운 눈물 대신 많고 많은 말 대신 그냥 웃어주렴 나는 그거면 되 그대 모습을 따라 걸어가네 거리 마다 그대 닮은 고운 불빛 그대 미소가 달빛 아래 피었네 온 세상엔 온통 그대 향기뿐이네 오오 온 세상엔 온통 그대 향기뿐이네 온 세상엔 온통 그대 향기뿐이네 오오오 오오오오 내겐 그대뿐이네
4513,미련,<인디>나는 갈 수 없어 너를 떠날 수가 없어 그대라는 아픈 희망을 난 놓지 못해 나는 할 수 없어 너를 지울 수가 없어 우리라는 작은 불빛을 난 끄지 못해 그러니 떠나가 아무 미련 없이 멀어질 수 있게 더는 뒤돌아보지마 더 높이 날아가 널 잡을 수 없도록 너의 날개에 닿을 수 없는 저 먼 곳으로 나는 할 수 없어 너를 지울 수가 없어 우리라는 작은 불빛을 난 끄지 못해 그러니 떠나가 아무 미련 없이 멀어질 수 있게 더는 뒤돌아보지마 더 높이 날아가 널 잡을 수 없도록 너의 날개에 닿을 수 없는 저 먼 곳으로 더 멀리 달아나 널 바랄 수 없도록 나의 욕심이 닿을 수 없는 저 먼 곳으로 안녕 끝없는 나의 바램들이 너의 날개를 무겁게 해 망가진 나의 마음들이 너를 눈물에 잠기게 해 더 이상 널 가둘 수는 없어 더 높이 날아가 널 잡을 수 없도록 너의 날개에 닿을 수 없는 저 먼 곳으로 더 높이 날아가 널 잡을 수 없도록 너의 날개에 닿을 수 없는 저 먼 곳으로 더 멀리 달아나 널 바랄 수 없도록 나의 욕심이 닿을 수 없는 저 먼 곳으로
